,topik,berita
4,Berita Dunia Hiburan,Desta Ancam Polisikan Penyebar Fitnah
251,Berita Luar Negeri,"				Amerika ""Balas Dendam"", Lancarkan Aksi De-risking China!			"
151,Berita Luar Negeri,				ChatGPT China Tak Mau Jawab Pertanyaan soal Winnie the Pooh			
132,Berita Luar Negeri,				US 'intentionally released Covid virus in Wuhan' EU summit told			
242,Berita Luar Negeri,				Salman Rushdie Terima Penghargaan: Saya Berutang Hidup pada Penyerang			
324,Berita Luar Negeri,				Alasan Wagner Group Tarik Pasukan dari Ukraina Serahkan ke Rusia			
8,Berita Luar Negeri,"Kuras Air Dam untuk Ambil Ponselnya yang Jatuh, Pejabat Ini Diberhentikan"
245,Berita Luar Negeri,"				Ngeri, Pejabat Rusia Pengkritik Putin Mati 'Misterius' (Lagi)			"
121,Berita Luar Negeri,				Blogger Pro-Putin Dipecat usai Bos Wagner Terang-terangan Kritik Rusia			
166,Berita Luar Negeri,				Wagner Wanti-wanti Pasukan Rusia Bisa Berontak jika Perang Berlanjut			
265,Berita Luar Negeri,"				Pengemudi Truk Tabrak Penghalang Gedung Putih Ditahan, Penyelidik Temukan Bendera			"
224,Berita dan Politik,"				Prabowo Unggul di Survei Capres Litbang Kompas, Ganjar: Biasa Aja			"
226,Berita dan Politik,				Survei Litbang Kompas: Anies Kalah Jauh dari Prabowo dan Ganjar			
223,Berita dan Politik,"				Nyamar Jadi Sopir Taksi, Bos Blue Bird Ikut Ngetem sampai Macet-macetan			"
222,Berita dan Politik,"				Pasang Baliho Kaesang di Depok, PSI Dirujak Warganet: Ngakunya Anti Politik Dinasti			"
221,Berita dan Politik,"				Menyesal Pernah Pilih Capres Ndeso dan Kurus Kering, dr.Tifa Mantap Dukung Sosok Ini			"
225,Berita dan Politik,				Survei Litbang Kompas: Pemilih Loyal Anies Lebih Banyak daripada Ganjar dan Prabowo			
218,Berita dan Politik,				Viral Bule Jerman Telanjang di Panggung Saat Pertunjukan Tari Bali			
219,Berita dan Politik,				Video Cabul Anies Peluk Perempuan Mirip Nonton Adegan Bokep			
227,Berita dan Politik,"				Makin Berani, Sekelompok Pemuda Gelar Aksi di Monas Kibarkan Bendera Pelangi			"
217,Berita dan Politik,				Ngeri! Modal Jadi Capres di Indonesia Minimal Rp 5 Triliun			
216,Berita dan Politik,				Tim Anies Baswedan Salahkan Media Online Terkait Data Jalan yang Keliru			
215,Berita dan Politik,				Produsen TB2 Bayraktar Turki Ungkap Indonesia Dikibuli China Soal Pembelian Drone			
214,Berita dan Politik,				Pria di Palas Sumut Sobek Kemaluan Istri Gegara Menolak Diajak Bercinta			
220,Berita dan Politik,				Politikus PDIP: Saya Pilih Anies Jika Bisa Jelaskan Cara Cegah Korupsi			
228,Berita dan Politik,"				Kasus Mario Dandy Bak Jalan di Tempat, Ayah David Ozora Beri Sindiran Hingga Ancam Ba			"
232,Berita dan Politik,"				Elektabilitas PDI-P Teratas di SurveiLitbangKompas,Ganjar Ajak Kader Tak Bicara N			"
230,Berita dan Politik,				Mengapa Elektabilitas Anies Stagnan di Bawah Prabowo dan Ganjar?			
247,Berita dan Politik,"				Sumpah Pocong 2 Kali, Tersangka Pencabulan Anak di Palembag Ditangkap			"
246,Berita dan Politik,"				Uji Coba Kereta Cepat Jakarta Bandung, Kecepatan Ditingkatkan Jadi 180 Km Per Jam			"
244,Berita dan Politik,				Try Sutrisno Pertanyakan Hak Anak Cucu PKI yang Harus Dipenuhi dalam Inpres			
243,Berita dan Politik,"				Sempat Kembali ke Atas Rp 14.900/US$, Rupiah Balik Menguat!			"
241,Berita dan Politik,"				PKS ke PUPR: Masalah Utamanya Bukan Anies Salah Baca Data BPS, tapi...			"
240,Berita dan Politik,				Yayasan Trisakti Tak Terima Pemerintah Ambil Alih Universitas			
239,Berita dan Politik,				Pimpinan KKB di Yahukimo Ditangkap Saat Sedang Berada di Jayapura			
238,Berita dan Politik,				Ditjen Pajak Sebut Kasus Rafael Alun Tak Pengaruhi Kepatuhan Lapor SPT			
237,Berita dan Politik,				PDIP Yakin Jokowi Dukung Ganjar Bukan Prabowo: Tidak Lupakan Sejarah			
236,Berita dan Politik,"				Alasan Demokrat dan PKS Tolak IKN, Meski Anies Dukung Pindah Ibu Kota			"
235,Berita dan Politik,				Jokowi Rayu Inggris dan Jepang Investasi di IKN			
234,Berita dan Politik,				Setelan Pede PKS-PAN-PPP Meski Diprediksi Tak Lolos ke Senayan			
233,Berita dan Politik,"				Ganjar Pranowo Dipuji Stafsus Wapres, Berhasil Tangani Konflik Bendungan Bener			"
213,Berita dan Politik,				Budiman PDIP Bicara Alasan Megawati Kalah dari SBY di Pemilu 2004			
231,Berita dan Politik,"				Edy Siap Maju Pilgub Sumut 2024: yang Mau Jadi Gubernur, Kita Rival			"
229,Berita dan Politik,"				Putri Indonesia 'Jualan' Tiket Coldplay dari Jalur Orang Dalam, Bisakah Kena Pidana?			"
212,Berita dan Politik,"				BSI yang Bermasalah, Kok Qanun LKS Yang Harus Direvisi			"
208,Berita dan Politik,				Erick Tunggu Keputusan Luhut soal Impor KRL Bekas			
210,Berita dan Politik,"				KPK Sita Rp1,5 Miliar dari Kader Demokrat Terkait Ricky Ham Pagawak			"
188,Berita dan Politik,"				Profil Suami Puan Maharani, Namanya Dikaitkan di Skema Konsorsium Korupsi BTS Kominfo			"
187,Berita dan Politik,"				Edannn...Pimpinan Ponpes Al Zaytun Haramkan Sarung Saat Shalat, Kemeja Putih dan Jas			"
186,Berita dan Politik,"				Kembali Berulah, KKB Tembaki Aparat Keamanan Saat Lakukan Patroli di Nogolait			"
185,Berita dan Politik,"				Sarankan Ganjar Cawapres Prabowo, Pigai: Gak Mudah Lawan Anies, Survei Itu Tipu-tipu!			"
